current_ad_url,redirects_to,campaign_name,ad_id,historical_spend,historical_clicks,action_needed
https://naturesseed.com/pasture-seed/,https://naturesseed.com/products/pasture-seed/,Search | Categories (Top) | ROAS; Search | Pasture Seed (Broad) | ROAS,689571588863; 669764353185; 669764353182; 728220178483,12902.96,9502,Update ad final URL to: https://naturesseed.com/products/pasture-seed/
https://naturesseed.com/pasture-seed/horse-pastures/,https://naturesseed.com/products/pasture-seed/horse-pastures-seed/,Search | Categories (Top) | ROAS; Search | Animal Seed (Broad) | ROAS; Search | Pasture Seed (Broad) | ROAS,670715100693; 689571588872; 773132599351; 728220178261; 728220178258; 670715100690; 728220178255; 773132599354,12535.47,8024,Update ad final URL to: https://naturesseed.com/products/pasture-seed/horse-pastures-seed/
https://naturesseed.com/sale/,https://naturesseed.com/,Search | Brand | ROAS; Search | Pasture Seed (Broad) | ROAS; Search | Categories (Top) | ROAS; Search | Animal Seed (Broad) | ROAS,747838731522; 747838731573; 747838731594; 747838731552; 747838731567; 747838731597; 747838731531; 747838731591; 747838731564; 747838731723; 747838731588; 747838731537; 747838731543; 747838731561; 747838731558; 747838731555; 747838731549; 747838731528; 747838731540; 747838731534; 747838731546; 747838731570; 747838731720; 747838731576; 747838731579; 747838731585; 747838731582; 773132599324; 773132599336; 773132599348; 773132599360; 773132599372; 773132599384; 773132599396; 773132599408; 773132599420; 773132599432; 773132599564; 773132599573,6110.65,2305,Update ad final URL to: https://naturesseed.com/
https://www.naturesseed.com/,https://naturesseed.com/,Search | Brand | ROAS; California | Search | Best Grass Seed; Max Conversion Value,272079888904; 272079888901; 272079888907; 461357401894; 461357401891; 585779978846; 585779978852; 461357401897; 461357401888; 461357401882; 461357401885; 272079888901; 272079888904; 272079888907; 461357401882; 461357401885; 461357401888; 461357401891; 461357401894; 461357401897; 585779978843; 585779978849,5453.95,1985,Update ad final URL to: https://naturesseed.com/
https://naturesseed.com/grass-seed/clover-seeds-lawn-additive/microclover/,https://naturesseed.com/products/clover-seed/microclover/,Search | Categories (Top) | ROAS; Search | Pasture Seed (Broad) | ROAS; Search | Animal Seed (Broad) | ROAS,689571588896; 728220178282; 674620181436; 728220178285; 674620181433; 728220178288; 773132599327,5139.99,2615,Update ad final URL to: https://naturesseed.com/products/clover-seed/microclover/
https://naturesseed.com/product/cattle-dairy-cow-pasture-mix-cold-warm-season,https://naturesseed.com/products/pasture-seed/cattle-dairy-cow-pasture-mix-cold-warm-season/,Search | Pasture | Exact,771352317042,4583.98,3963,Update ad final URL to: https://naturesseed.com/products/pasture-seed/cattle-dairy-cow-pasture-mix-cold-warm-season/
https://naturesseed.com/pasture-seed/cattle-pastures/,https://naturesseed.com/products/pasture-seed/cattle-pasture-seed/,Search | Categories (Top) | ROAS; Search | Pasture Seed (Broad) | ROAS; Search | Animal Seed (Broad) | ROAS,670715100687; 689571588869; 670715100684; 728220178462; 773132599435,3769.26,4809,Update ad final URL to: https://naturesseed.com/products/pasture-seed/cattle-pasture-seed/
https://naturesseed.com/wildflower-seed/,https://naturesseed.com/products/wildflower-seed/,Search | Categories (Top) | ROAS; Search | Pasture Seed (Broad) | ROAS; Search | Animal Seed (Broad) | ROAS,669764353191; 689571588866; 669764353188; 728220178297; 773132599399,3361.78,2635,Update ad final URL to: https://naturesseed.com/products/wildflower-seed/
https://naturesseed.com/pasture-seed/poultry-pastures/,https://naturesseed.com/products/pasture-seed/poultry-forage-mix/,Search | Categories (Top) | ROAS; Search | Pasture Seed (Broad) | ROAS; Search | Animal Seed (Broad) | ROAS,670715100843; 689571588884; 670715100840; 728220178315; 773132599411,3232.88,2787,Update ad final URL to: https://naturesseed.com/products/pasture-seed/poultry-forage-mix/
https://naturesseed.com/pasture-seed/sheep-pastures/,https://naturesseed.com/products/pasture-seed/sheep-pastures-seed/,Search | Categories (Top) | ROAS; Search | Animal Seed (Broad) | ROAS; Search | Pasture Seed (Broad) | ROAS,689571588875; 670715100699; 773132599198; 728220178279; 728220178276; 670715100696; 728220178273; 773132599321,2916.07,2283,Update ad final URL to: https://naturesseed.com/products/pasture-seed/sheep-pastures-seed/
https://naturesseed.com/grass-seed/clover-seeds-lawn-additive/white-dutch-clover/,https://naturesseed.com/products/clover-seed/white-dutch-clover/,Search | Categories (Top) | ROAS; Search | Pasture Seed (Broad) | ROAS; Search | Animal Seed (Broad) | ROAS,689571588893; 674620181430; 728220178474; 728220178477; 674620181427; 728220178471; 773132599375,2802.62,1921,Update ad final URL to: https://naturesseed.com/products/clover-seed/white-dutch-clover/
https://naturesseed.com/pasture-seed/cattle-pastures/beef-cattle-forage/,https://naturesseed.com/products/pasture-seed/cattle-pasture-seed/,Search | Animal Seed (Broad) | ROAS; Search | Pasture Seed (Broad) | ROAS,773132599438; 728220178459; 728220178456,2421.00,1231,Update ad final URL to: https://naturesseed.com/products/pasture-seed/cattle-pasture-seed/
https://naturesseed.com/pasture-seed/goat-pastures/,https://naturesseed.com/products/pasture-seed/goat-pastures-seed/,Search | Categories (Top) | ROAS; Search | Pasture Seed (Broad) | ROAS; Search | Animal Seed (Broad) | ROAS,689571588878; 670715100705; 728220178267; 728220178264; 670715100702; 728220178270; 773132599387; 773132599390; 773132599393,2212.23,2097,Update ad final URL to: https://naturesseed.com/products/pasture-seed/goat-pastures-seed/
https://naturesseed.com/grass-seed/,https://naturesseed.com/products/grass-seed/,Search | Lawn Seed,768738990627,1130.27,1832,Update ad final URL to: https://naturesseed.com/products/grass-seed/
https://www.naturesseed.com/grass-seed/clover-seeds-lawn-additive/microclover/,https://naturesseed.com/products/clover-seed/microclover/,US | Search | Microclover,678136631512; 678136631509,979.94,216,Update ad final URL to: https://naturesseed.com/products/clover-seed/microclover/
https://naturesseed.com/pasture-seed/alpaca-llama-pastures/,https://naturesseed.com/products/pasture-seed/alpaca-llama-pasture-forage-mix/,Search | Categories (Top) | ROAS; Search | Animal Seed (Broad) | ROAS; Search | Pasture Seed (Broad) | ROAS,689571588881; 773132599345; 670715100711; 689571588890; 728220178306; 670715100855; 670715100708; 670715100852; 728220178300; 728220178453; 773132599342; 773132599363,900.27,462,Update ad final URL to: https://naturesseed.com/products/pasture-seed/alpaca-llama-pasture-forage-mix/
https://naturesseed.com/product/sheep-pasture-forage-mix-transitional,https://naturesseed.com/products/pasture-seed/sheep-pasture-forage-mix-transitional/,Search | Pasture | Exact,771352317054,823.25,554,Update ad final URL to: https://naturesseed.com/products/pasture-seed/sheep-pasture-forage-mix-transitional/
https://www.naturesseed.com/grass-seed/bermuda-grass/bermudagrass-seed-blend/,https://naturesseed.com/products/grass-seed/bermudagrass-seed-blend/,Southern States | Search | Warm-Season Grasses; US | Search | Grass Seed; Grass Seed (S) - Target ROAS of 700%; Bermudagrass - Southern States (S); Buffalograss Lawn Seed - Southern States (S),604222638707; 652020925615; 420251779844; 420251779847; 420251779850; 420251779853; 427335002388; 420251779844; 420251779847; 420251779850; 420251779853; 427335002388; 439465025885; 439465025888; 439465025891; 439465025894; 439464187100; 439464187103; 439464187106; 439464187109; 439464187112,607.92,312,Update ad final URL to: https://naturesseed.com/products/grass-seed/bermudagrass-seed-blend/
https://naturesseed.com/products/grass-seed,https://naturesseed.com/products/grass-seed/,Search | Lawn - Broad,793907196698,370.88,130,Update ad final URL to: https://naturesseed.com/products/grass-seed/
https://naturesseed.com/grass-seed/fescue-grass/triple-play-tall-fescue-seed-blend,https://naturesseed.com/products/grass-seed/triblade-elite-fescue-lawn-mix/,Search | Lawn Seed,769301214851; 768738990621,354.78,390,Update ad final URL to: https://naturesseed.com/products/grass-seed/triblade-elite-fescue-lawn-mix/
https://naturesseed.com/grass-seed/kentucky-bluegrass/kentucky-bluegrass-seed-blue-ribbon-mix,https://naturesseed.com/products/grass-seed/,Search | Lawn Seed,768738990609; 768738990624,312.61,413,Update ad final URL to: https://naturesseed.com/products/grass-seed/
https://naturesseed.com/pasture-seed/pig-pastures/,https://naturesseed.com/products/pasture-seed/pig-pasture-forage-mix/,Search | Categories (Top) | ROAS; Search | Pasture Seed (Broad) | ROAS; Search | Animal Seed (Broad) | ROAS,689571588887; 670715100849; 670715100846; 728220178318; 773132599429,300.86,427,Update ad final URL to: https://naturesseed.com/products/pasture-seed/pig-pasture-forage-mix/
https://www.naturesseed.com/grass-seed/bahia-grass/bahia-grass-seed-blend/,https://naturesseed.com/products/pasture-seed/,Southern States | Search | Warm-Season Grasses; Bahia Grass Seed (S); Bahia Grass Seed - Southern States (S); US | Search | Grass Seed; Grass Seed (S) - Target ROAS of 700%,604222638704; 652020925612; 431537031820; 431537031823; 431537031826; 431537031829; 431537031832; 431537031835; 439470431663; 439470431666; 439470431669; 439470431672; 420251779832; 420251779835; 420251779838; 420251779841; 427335002385; 420251779832; 420251779835; 420251779838; 420251779841; 427335002385,238.87,124,Update ad final URL to: https://naturesseed.com/products/pasture-seed/
https://naturesseed.com/product/alpaca-llama-pasture-forage-mix/,https://naturesseed.com/products/pasture-seed/alpaca-llama-pasture-forage-mix/,Search | Pasture | Exact; Search | Pasture Seed (Broad) | ROAS; Search | Animal Seed (Broad) | ROAS,771352317048; 728220178447; 728220178450; 773132599366,199.91,86,Update ad final URL to: https://naturesseed.com/products/pasture-seed/alpaca-llama-pasture-forage-mix/
https://naturesseed.com/product/pig-pasture-forage-mix/,https://naturesseed.com/products/pasture-seed/pig-pasture-forage-mix/,Search | Animal Seed (Broad) | ROAS; Search | Pasture Seed (Broad) | ROAS,773132599426; 728220178441; 728220178444,193.73,116,Update ad final URL to: https://naturesseed.com/products/pasture-seed/pig-pasture-forage-mix/
https://naturesseed.com/grass-seed/perennial-ryegrass/perennial-ryegrass-seed-blend,https://naturesseed.com/products/pasture-seed/perennial-ryegrass/,Search | Lawn Seed,768738990612,134.40,158,Update ad final URL to: https://naturesseed.com/products/pasture-seed/perennial-ryegrass/
https://www.naturesseed.com/grass-seed/,https://naturesseed.com/products/grass-seed/,Search | Categories (Top) | ROAS; Remarketing; Placements (D); US | Search | Grass Seed; Grass Seed (S) - Target ROAS of 700%; Search | Brand | ROAS; Max Conversion Value,669764353176; 416314458440; 416314458443; 416314458446; 416314458449; 427335002349; 436378129439; 436378129562; 436378129565; 436378129568; 436378129571; 420251779652; 420251779655; 420251779658; 420251779661; 427335002370; 420251779664; 420251779667; 420251779670; 420251779673; 427335002373; 420251779892; 420251779895; 420251779898; 420251779901; 427335002520; 420251779904; 420251779907; 420251779910; 420251779913; 427335002523; 420251779652; 420251779655; 420251779658; 420251779661; 427335002370; 420251779664; 420251779667; 420251779670; 420251779673; 427335002373; 420251779892; 420251779895; 420251779898; 420251779901; 427335002520; 420251779904; 420251779907; 420251779910; 420251779913; 427335002523; 447199438715; 447199438718; 447199438724; 447199438727; 447199438715; 447199438718; 447199438721; 447199438724; 447199438727; 447199438730; 461357402080; 461357402083; 461357402086; 461357402089; 482469163363,118.41,74,Update ad final URL to: https://naturesseed.com/products/grass-seed/
https://naturesseed.com/grass-seed/bermuda-grass/bermudagrass-seed-blend,https://naturesseed.com/products/grass-seed/bermudagrass-seed-blend/,Search | Lawn Seed,771352317057,98.10,201,Update ad final URL to: https://naturesseed.com/products/grass-seed/bermudagrass-seed-blend/
https://naturesseed.com/grass-seed/kentucky-bluegrass/northeast-seed-mix,https://naturesseed.com/products/grass-seed/northeast-lawn/,Search | Lawn Seed,768738990618,75.54,123,Update ad final URL to: https://naturesseed.com/products/grass-seed/northeast-lawn/
https://www.naturesseed.com/grass-seed/california/,https://naturesseed.com/resources/lawn-turf/california/,California | Search | Best Grass Seed,585779978840,30.31,8,Update ad final URL to: https://naturesseed.com/resources/lawn-turf/california/
http://naturesseed.com/product/alpaca-llama-pasture-forage-mix/,https://naturesseed.com/products/pasture-seed/alpaca-llama-pasture-forage-mix/,Search | Pasture Seed (Broad) | ROAS,728220178303,18.74,4,Update ad final URL to: https://naturesseed.com/products/pasture-seed/alpaca-llama-pasture-forage-mix/
https://www.naturesseed.com/m-binder-tackifier-soil-stabilizer,https://naturesseed.com/products/planting-aids/m-binder-tackifier-soil-stabilizer/,US | Search | Product Ads,672991775959,12.53,6,Update ad final URL to: https://naturesseed.com/products/planting-aids/m-binder-tackifier-soil-stabilizer/
https://www.naturesseed.com/rice-hulls,https://naturesseed.com/products/planting-aids/rice-hull/,US | Search | Product Ads,673049827811,11.24,8,Update ad final URL to: https://naturesseed.com/products/planting-aids/rice-hull/
https://www.naturesseed.com/pasture-seed/by-region/great-lakes-new-england-pasture-seed/,https://naturesseed.com/products/pasture-seed/,Great Lakes / New England | Search | Pasture Seed; Pasture Seed - Great Lakes / New England (R),588245585435; 588245585423; 588245585426; 588245585438; 588245585429; 588245585420; 458391718931; 458391718934; 458391718937; 458391718940; 461357403001; 461357403004; 461357403007; 461357403010; 588245585432,10.86,11,Update ad final URL to: https://naturesseed.com/products/pasture-seed/
