category_a,category_b,co_purchase_customers,category_a_total_customers,category_b_total_customers,a_to_b_rate,b_to_a_rate,level
Lawn Seed,Specialty Seed,977,3393,7070,28.8,13.8,subcategory
Native Wildflower Seed,Specialty Seed,962,2260,7070,42.6,13.6,subcategory
Clover Seed,Specialty Seed,904,2603,7070,34.7,12.8,subcategory
California Collection,Native Wildflower Seed,818,1424,2260,57.4,36.2,subcategory
California Collection,Specialty Seed,632,1424,7070,44.4,8.9,subcategory
Clover Seed,Lawn Seed,549,2603,3393,21.1,16.2,subcategory
Pasture Seed,Specialty Seed,519,1621,7070,32.0,7.3,subcategory
Lawn Seed,Native Wildflower Seed,418,3393,2260,12.3,18.5,subcategory
Pasture Seed,Southern US Pasture,388,1621,388,23.9,100.0,subcategory
Clover Seed,Native Wildflower Seed,326,2603,2260,12.5,14.4,subcategory
Horse Pasture,Pasture Seed,301,301,1621,100.0,18.6,subcategory
Goat Pasture,Pasture Seed,250,250,1621,100.0,15.4,subcategory
Pasture Seed,Sheep Pastures,228,1621,228,14.1,100.0,subcategory
Cattle Pasture,Pasture Seed,197,197,1621,100.0,12.2,subcategory
Clover Seed,Pasture Seed,190,2603,1621,7.3,11.7,subcategory
Lawn Seed,Pasture Seed,157,3393,1621,4.6,9.7,subcategory
Cattle Pasture,Southern US Pasture,151,197,388,76.6,38.9,subcategory
Native Wildflower Seed,Pasture Seed,136,2260,1621,6.0,8.4,subcategory
Planting Aids,Specialty Seed,126,325,7070,38.8,1.8,subcategory
California Collection,Clover Seed,120,1424,2603,8.4,4.6,subcategory
Horse Pasture,Southern US Pasture,117,301,388,38.9,30.2,subcategory
Southern US Pasture,Specialty Seed,111,388,7070,28.6,1.6,subcategory
Food Plot Seed,Specialty Seed,110,260,7070,42.3,1.6,subcategory
Northern US Pasture,Pasture Seed,108,108,1621,100.0,6.7,subcategory
Lawn Seed,Planting Aids,105,3393,325,3.1,32.3,subcategory
Cover Crop Seed,Pasture Seed,99,158,1621,62.7,6.1,subcategory
California Collection,Lawn Seed,98,1424,3393,6.9,2.9,subcategory
Clover Seed,Cover Crop Seed,91,2603,158,3.5,57.6,subcategory
Horse Pasture,Specialty Seed,88,301,7070,29.2,1.2,subcategory
Cover Crop Seed,Specialty Seed,82,158,7070,51.9,1.2,subcategory
Sheep Pastures,Specialty Seed,79,228,7070,34.6,1.1,subcategory
Goat Pasture,Specialty Seed,78,250,7070,31.2,1.1,subcategory
Goat Pasture,Southern US Pasture,73,250,388,29.2,18.8,subcategory
Sheep Pastures,Southern US Pasture,64,228,388,28.1,16.5,subcategory
Food Plot Seed,Pasture Seed,62,260,1621,23.8,3.8,subcategory
Pasture Seed,Planting Aids,60,1621,325,3.7,18.5,subcategory
Clover Seed,Planting Aids,56,2603,325,2.2,17.2,subcategory
Cattle Pasture,Northern US Pasture,53,197,108,26.9,49.1,subcategory
Native Wildflower Seed,Planting Aids,43,2260,325,1.9,13.2,subcategory
California Collection,Pasture Seed,42,1424,1621,2.9,2.6,subcategory
Cattle Pasture,Specialty Seed,41,197,7070,20.8,0.6,subcategory
Northern US Pasture,Specialty Seed,40,108,7070,37.0,0.6,subcategory
Food Plot Seed,Native Wildflower Seed,39,260,2260,15.0,1.7,subcategory
California Collection,Planting Aids,37,1424,325,2.6,11.4,subcategory
Clover Seed,Food Plot Seed,35,2603,260,1.3,13.5,subcategory
Cover Crop Seed,Lawn Seed,34,158,3393,21.5,1.0,subcategory
Horse Pasture,Lawn Seed,33,301,3393,11.0,1.0,subcategory
Clover Seed,Southern US Pasture,32,2603,388,1.2,8.2,subcategory
Food Plot Seed,Lawn Seed,31,260,3393,11.9,0.9,subcategory
Lawn Seed,Southern US Pasture,27,3393,388,0.8,7.0,subcategory
Clover Seed,Horse Pasture,24,2603,301,0.9,8.0,subcategory
Clover Seed,Goat Pasture,22,2603,250,0.8,8.8,subcategory
Goat Pasture,Northern US Pasture,22,250,108,8.8,20.4,subcategory
Cover Crop Seed,Native Wildflower Seed,21,158,2260,13.3,0.9,subcategory
Planting Aids,Southern US Pasture,21,325,388,6.5,5.4,subcategory
Horse Pasture,Northern US Pasture,21,301,108,7.0,19.4,subcategory
Goat Pasture,Lawn Seed,20,250,3393,8.0,0.6,subcategory
Clover Seed,Sheep Pastures,20,2603,228,0.8,8.8,subcategory
Northern US Pasture,Sheep Pastures,20,108,228,18.5,8.8,subcategory
Lawn Seed,Sheep Pastures,19,3393,228,0.6,8.3,subcategory
Native Wildflower Seed,Southern US Pasture,18,2260,388,0.8,4.6,subcategory
Lawn Seed,Southern Lawn,17,3393,17,0.5,100.0,subcategory
Cattle Pasture,Clover Seed,17,197,2603,8.6,0.7,subcategory
Food Plot Seed,Southern US Pasture,16,260,388,6.2,4.1,subcategory
Goat Pasture,Planting Aids,15,250,325,6.0,4.6,subcategory
Goat Pasture,Sheep Pastures,15,250,228,6.0,6.6,subcategory
Goat Pasture,Native Wildflower Seed,15,250,2260,6.0,0.7,subcategory
Horse Pasture,Native Wildflower Seed,15,301,2260,5.0,0.7,subcategory
Cattle Pasture,Food Plot Seed,15,197,260,7.6,5.8,subcategory
Lawn Seed,Northern Lawn,14,3393,14,0.4,100.0,subcategory
Horse Pasture,Planting Aids,14,301,325,4.7,4.3,subcategory
Lawn Seed,Northern US Pasture,13,3393,108,0.4,12.0,subcategory
Native Wildflower Seed,Sheep Pastures,13,2260,228,0.6,5.7,subcategory
Cattle Pasture,Sheep Pastures,13,197,228,6.6,5.7,subcategory
Northern US Pasture,Southern US Pasture,13,108,388,12.0,3.4,subcategory
California Collection,Cover Crop Seed,13,1424,158,0.9,8.2,subcategory
Cattle Pasture,Lawn Seed,13,197,3393,6.6,0.4,subcategory
Cover Crop Seed,Southern US Pasture,12,158,388,7.6,3.1,subcategory
Food Plot Seed,Northern US Pasture,12,260,108,4.6,11.1,subcategory
Clover Seed,Northern US Pasture,11,2603,108,0.4,10.2,subcategory
Cattle Pasture,Cover Crop Seed,11,197,158,5.6,7.0,subcategory
Cover Crop Seed,Planting Aids,11,158,325,7.0,3.4,subcategory
Food Plot Seed,Goat Pasture,11,260,250,4.2,4.4,subcategory
Cattle Pasture,Goat Pasture,11,197,250,5.6,4.4,subcategory
Food Plot Seed,Planting Aids,10,260,325,3.8,3.1,subcategory
Cover Crop Seed,Food Plot Seed,10,158,260,6.3,3.8,subcategory
Cattle Pasture,Planting Aids,10,197,325,5.1,3.1,subcategory
Cover Crop Seed,Sheep Pastures,9,158,228,5.7,3.9,subcategory
Cattle Pasture,Horse Pasture,9,197,301,4.6,3.0,subcategory
California Collection,Northern Lawn,8,1424,14,0.6,57.1,subcategory
Northern Lawn,Specialty Seed,8,14,7070,57.1,0.1,subcategory
Northern US Pasture,Planting Aids,8,108,325,7.4,2.5,subcategory
Cover Crop Seed,Goat Pasture,7,158,250,4.4,2.8,subcategory
Food Plot Seed,Sheep Pastures,7,260,228,2.7,3.1,subcategory
Planting Aids,Sheep Pastures,7,325,228,2.2,3.1,subcategory
California Collection,Food Plot Seed,7,1424,260,0.5,2.7,subcategory
California Collection,Goat Pasture,7,1424,250,0.5,2.8,subcategory
Goat Pasture,Horse Pasture,7,250,301,2.8,2.3,subcategory
Cover Crop Seed,Northern US Pasture,7,158,108,4.4,6.5,subcategory
Southern Lawn,Specialty Seed,6,17,7070,35.3,0.1,subcategory
California Collection,Southern US Pasture,6,1424,388,0.4,1.5,subcategory
Lawn Seed,TWCA - Water-Wise Lawn,6,3393,6,0.2,100.0,subcategory
Northern Lawn,TWCA - Water-Wise Lawn,6,14,6,42.9,100.0,subcategory
California Collection,Horse Pasture,5,1424,301,0.4,1.7,subcategory
Cattle Pasture,Native Wildflower Seed,5,197,2260,2.5,0.2,subcategory
Horse Pasture,Sheep Pastures,5,301,228,1.7,2.2,subcategory
Cover Crop Seed,Horse Pasture,4,158,301,2.5,1.3,subcategory
California Collection,Sheep Pastures,4,1424,228,0.3,1.8,subcategory
Clover Seed,Southern Lawn,3,2603,17,0.1,17.6,subcategory
Clover Seed,Northern Lawn,3,2603,14,0.1,21.4,subcategory
Native Wildflower Seed,Northern Lawn,3,2260,14,0.1,21.4,subcategory
Native Wildflower Seed,Northern US Pasture,3,2260,108,0.1,2.8,subcategory
Food Plot Seed,Horse Pasture,3,260,301,1.2,1.0,subcategory
Specialty Seed,TWCA - Water-Wise Lawn,2,7070,6,0.0,33.3,subcategory
Lawn Seed,Transitional Lawn,1,3393,1,0.0,100.0,subcategory
Northern Lawn,Transitional Lawn,1,14,1,7.1,100.0,subcategory
Specialty Seed,Transitional Lawn,1,7070,1,0.0,100.0,subcategory
TWCA - Water-Wise Lawn,Transitional Lawn,1,6,1,16.7,100.0,subcategory
Northern Lawn,Pasture Seed,1,14,1621,7.1,0.1,subcategory
California Collection,Cattle Pasture,1,1424,197,0.1,0.5,subcategory
Lawn,Specialty,992,3393,7292,29.2,13.6,group
Specialty,Wildflower,978,7292,2260,13.4,43.3,group
Clover,Specialty,942,2603,7292,36.2,12.9,group
California,Wildflower,818,1424,2260,57.4,36.2,group
California,Specialty,638,1424,7292,44.8,8.7,group
Pasture,Specialty,605,1621,7292,37.3,8.3,group
Clover,Lawn,549,2603,3393,21.1,16.2,group
Lawn,Wildflower,418,3393,2260,12.3,18.5,group
Clover,Wildflower,326,2603,2260,12.5,14.4,group
Clover,Pasture,190,2603,1621,7.3,11.7,group
Lawn,Pasture,157,3393,1621,4.6,9.7,group
Pasture,Wildflower,136,1621,2260,8.4,6.0,group
Planting Aids,Specialty,134,325,7292,41.2,1.8,group
California,Clover,120,1424,2603,8.4,4.6,group
Lawn,Planting Aids,105,3393,325,3.1,32.3,group
California,Lawn,98,1424,3393,6.9,2.9,group
Pasture,Planting Aids,60,1621,325,3.7,18.5,group
Clover,Planting Aids,56,2603,325,2.2,17.2,group
Planting Aids,Wildflower,43,325,2260,13.2,1.9,group
California,Pasture,42,1424,1621,2.9,2.6,group
California,Planting Aids,37,1424,325,2.6,11.4,group
