,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
REVENUE,,,,,,,,,,,,,
Seed,"$137,073","$258,843","$439,755","$401,615","$216,091","$199,039","$52,314","$150,420","$249,115","$197,333","$80,806","$32,573","$2,414,978"
Other,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
Freight,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
Discounts & Allowances,"-$3,294",-$326,"-$6,542","-$2,495",-$160,-$119,$0,"-$16,199","-$38,433","-$23,196","-$6,633","-$6,933","-$104,331"
Net Revenue,"$133,779","$258,517","$433,213","$399,120","$215,931","$198,920","$52,314","$134,221","$210,682","$174,137","$74,173","$25,640","$2,310,647"
Discount & Allowance %,2.40%,0.10%,1.50%,0.60%,0.10%,0.10%,0.00%,10.80%,15.40%,11.80%,8.20%,21.30%,4.30%
,,,,,,,,,,,,,
COST OF GOODS,,,,,,,,,,,,,
Seed,"$40,108","$73,707","$109,348","$92,037","$81,973","$72,989","$12,970","$46,136","$62,300","$55,167","$22,125","$8,919","$677,778"
Other,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
Inventory Adjustment,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
Freight,"$27,084","$42,544","$2,308","$79,743","$29,136","$24,996","$12,752","$34,153","$44,444","$48,984","$18,486","$8,614","$373,245"
Total Cost Of Goods,"$67,192","$116,250","$111,656","$171,780","$111,109","$97,985","$25,722","$80,290","$106,744","$104,150","$40,611","$17,533","$1,051,022"
COGS %,50.20%,45.00%,25.80%,43.00%,51.50%,49.30%,49.20%,59.80%,50.70%,59.80%,54.80%,68.40%,45.50%
,,,,,,,,,,,,,
Gross Margin,"$66,587","$142,267","$321,557","$227,340","$104,822","$100,935","$26,592","$53,931","$103,938","$69,987","$33,562","$8,107","$1,259,625"
Gross Margin %,49.80%,55.00%,74.20%,57.00%,48.50%,50.70%,50.80%,40.20%,49.30%,40.20%,45.20%,31.60%,54.50%
,,,,,,,,,,,,,
PRODUCTION/WAREHOUSE,,,,,,,,,,,,,
Farm,$0,$0,$225,$275,$0,$0,$0,$0,$0,$0,$0,$0,$500
Collections,$0,$10,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$10
Warehouse,"$32,007","$32,622","$29,210","$22,633","$33,401","$24,288","$30,424","$22,811","$22,060","$22,913","$20,156","$15,847","$308,372"
WIP,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
Total Production/Warehouse,"$32,007","$32,632","$29,435","$22,908","$33,401","$24,288","$30,424","$22,811","$22,060","$22,913","$20,156","$15,847","$308,882"
,,,,,,,,,,,,,
SALES/MARKETING/ADVERTISING,,,,,,,,,,,,,
Salaries & Wages,$0,$0,$0,"$7,434",$0,$0,"$1,334","$1,232",$0,$0,$0,$0,"$10,000"
Marketing,$0,$25,$0,$0,$0,$0,$0,$0,$0,$0,$81,$69,$175
Advertising,"$35,805","$45,192","$72,602","$44,813","$40,273","$40,945","$8,674","$21,432","$28,971","$28,917","$12,325","$11,366","$391,315"
Development,$603,$0,$343,"$1,708","$2,000","$2,074","$5,288","$2,949","$2,542","$2,917","$2,229","$2,654","$25,307"
WIP,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
Total Sales/Marketing/Advertising,"$36,408","$45,218","$72,945","$53,955","$42,273","$43,020","$15,295","$25,613","$31,514","$31,834","$14,635","$14,089","$426,797"
,,,,,,,,,,,,,
GENERAL & ADMIN,,,,,,,,,,,,,
Salaries & Wages,"$20,818","$19,166","$18,558","$18,554","$18,554","$18,554","$18,994","$18,994","$18,994","$18,994","$18,994","$39,544","$248,721"
Professional Fees,"$1,148","$1,600","$1,175","$1,750",$735,"$3,231","$3,824","$4,567","$9,516","$3,154","$3,173","$1,217","$35,091"
Insurance,"$2,311","$2,311","$2,083","$2,341","$2,363","$2,721","$2,758","$2,388","$2,388","$2,388","$2,388","$2,388","$28,826"
T&E,$711,$232,$108,$108,$391,$0,$57,$0,$0,$0,$0,$0,"$1,607"
Utilities & Supplies,"$3,006","$2,207","$1,088","$3,008","$2,809","$1,154","$1,477",$397,$506,$612,$270,$406,"$16,940"
Corporate Allocation,"$10,503","$10,503","$10,503","$10,503","$10,503","$10,503","$10,503","$10,503","$10,503","$10,503","$10,503","$10,503","$126,042"
Other,"$3,136","$8,947","$13,194","$14,359","$6,927","$5,208","$1,872","$3,925","$7,622","$9,193","$6,089","$3,660","$84,133"
WIP,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
Total General & Admin,"$41,634","$44,967","$46,711","$50,624","$42,283","$41,371","$39,485","$40,775","$49,528","$44,845","$41,418","$57,719","$541,360"
,,,,,,,,,,,,,
Total Operating Costs,"$110,049","$122,817","$149,091","$127,487","$117,957","$108,678","$85,204","$89,200","$103,102","$99,592","$76,209","$87,654","$1,277,039"
OPEX %,82.30%,47.50%,34.40%,31.90%,54.60%,54.60%,162.90%,66.50%,48.90%,57.20%,102.70%,341.90%,55.30%
,,,,,,,,,,,,,
Management Fee,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
Other Income & Expense,"$5,377","$5,377","$5,377","$5,377","$5,377","$5,377","$5,377","$5,377","$5,377","$5,377","$5,377","$5,377","$64,522"
,,,,,,,,,,,,,
Net Income,"-$48,839","$14,073","$167,089","$94,476","-$18,512","-$13,120","-$63,989","-$40,645","-$4,541","-$34,982","-$48,023","-$84,924","-$81,937"
,,,,,,,,,,,,,
Interest,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
Tax,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
Depreciation,"$5,377","$5,377","$5,377","$5,377","$5,377","$5,377","$5,377","$5,377","$5,377","$5,377","$5,377","$5,377","$64,522"
Amortization,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
,,,,,,,,,,,,,
EBITDA,"-$43,462","$19,450","$172,466","$99,853","-$13,135","-$7,743","-$58,612","-$35,269",$836,"-$29,605","-$42,646","-$79,548","-$17,415"
EBITDA %,-32.50%,7.50%,39.80%,25.00%,-6.10%,-3.90%,-112.00%,-26.30%,0.40%,-17.00%,-57.50%,-310.30%,-0.80%
,,,,,,,,,,,,,
Lender Adj. Addbacks,,,,,,,,,,,,,$0
,,,,,,,,,,,,,
Adjusted EBITDA,"-$43,462","$19,450","$172,466","$99,853","-$13,135","-$7,743","-$58,612","-$35,269",$836,"-$29,605","-$42,646","-$79,548","-$17,415"
Lender Adj. EBITDA %,-32.50%,7.50%,39.80%,25.00%,-6.10%,-3.90%,-112.00%,-26.30%,0.40%,-17.00%,-57.50%,-310.30%,-0.80%