sku,product_name,published_status,current_availability,fishbowl_qty,match_type,matched_sku,new_qty
CV-BGEC-10-LB,"Prairie Native Drought-Tolerant & Erosion Control Mix - 10 Lbs - 20,000 Sq Ft",STAGE,In_stock,60,direct,CV-BGEC-10-LB,60
CV-BGEC-20-LB-KIT,"Prairie Native Drought-Tolerant & Erosion Control Mix - 20 Lbs - 40,000",STAGE,In_stock,60,kit_base,CV-BGEC-10-LB,60
CV-BGEC-50-LB-KIT,"Prairie Native Drought-Tolerant & Erosion Control Mix - 50 Lbs - 100,000",STAGE,In_stock,60,kit_base,CV-BGEC-10-LB,60
CV-CHM-25-LB-KIT,"California Habitat Mix - 25 lb - Covers 50,000 Sq Ft",STAGE,In_stock,25,kit_base,CV-CHM-5-LB,25
CV-CHM-50-LB-KIT,"California Habitat Mix - 50 lb - Covers 100,000 Sq Ft",STAGE,In_stock,25,kit_base,CV-CHM-5-LB,25
CV-CNEC-25-LB-KIT,"California Native Erosion Control Mix - 25 Lbs - 40,000 Sq Ft",SYSTEM_PROBLEM,In_stock,32,kit_base,CV-CNEC-5-LB,32
CV-CNFW-20-LB-KIT,"California Native Fire-Resistant Seed Mix - 20 lb - Covers 40,000 Sq Ft",UNPUBLISHED,In_stock,46,kit_base,CV-CNFW-5-LB,46
CV-NEC-10-LB,"Dryland Revegetation & Erosion Control Seed Mix - 10 lb - Covers 20,000 Sq Ft",STAGE,In_stock,9,direct,CV-NEC-10-LB,9
CV-NEC-20-LB-KIT,"Dryland Revegetation & Erosion Control Seed Mix - 20 lb - Covers 40,000 Sq Ft",STAGE,In_stock,9,kit_base,CV-NEC-10-LB,9
CV-NEC-50-LB-KIT,"Dryland Revegetation & Erosion Control Seed Mix - 50 lb - Covers 100,000 Sq Ft",STAGE,In_stock,9,kit_base,CV-NEC-10-LB,9
PB-ALPACA-20-LB-KIT,"Llama & Alpaca Pasture Seed Mix - 20 lb - Covers 40,000 Sq Ft",PUBLISHED,In_stock,176,kit_base,PB-ALPACA-10-LB,176
PB-ALPACA-50-LB-KIT,"Llama & Alpaca Pasture Seed Mix - 50 lb - Covers 100,000 Sq Ft",PUBLISHED,In_stock,176,kit_base,PB-ALPACA-10-LB,176
PB-BIRD-10-LB,"Upland Game Mix - 10 Lbs - 5,000 Sq Ft",PUBLISHED,In_stock,21,direct,PB-BIRD-10-LB,21
PB-BIRD-20-LB-KIT,"Upland Game Mix - 20 Lbs - 10,000 Sq Ft",PUBLISHED,In_stock,21,kit_base,PB-BIRD-10-LB,21
PB-BIRD-50-LB-KIT,"Upland Game Mix - 50 Lbs - 25,000 Sq Ft",PUBLISHED,In_stock,21,kit_base,PB-BIRD-10-LB,21
PB-CABIN-25-LB-KIT,"Native Cabin Grass Seed Mix - 25 Lbs - 50,000 Sq Ft",STAGE,In_stock,145,kit_base,PB-CABIN-5-LB,145
PB-CHIX-25-LB-KIT,"Chicken Forage Seed Mix - 25 lb - Covers 50,000 Sq Ft",PUBLISHED,In_stock,366,kit_base,PB-CHIX-5-LB,366
PB-CHIX-50-LB-KIT,"Chicken Forage Seed Mix - 50 lb - Covers 100,000 Sq Ft",STAGE,In_stock,366,kit_base,PB-CHIX-5-LB,366
PB-CHSS-0.5-LB,"Chaparral Sage Scrub Mix - 0.5 lb - Covers 1,000 Sq Ft",STAGE,In_stock,39,direct,PB-CHSS-0.5-LB,39
PB-CHSS-1-LB-KIT,"Chaparral Sage Scrub Mix - 1 lb - Covers 2,000 Sq Ft",PUBLISHED,In_stock,0,kit_direct,PB-CHSS-1-LB,0
PB-CHSS-2-LB-KIT,"Chaparral Sage Scrub Mix - 2 lb - Covers 4,000 Sq Ft",PUBLISHED,In_stock,39,kit_base,PB-CHSS-0.5-LB,39
PB-COSS-0.5-LB,"Coastal California Sage Scrub Mix - 0.5 lb - Covers 2,000 Sq Ft",STAGE,In_stock,15,direct,PB-COSS-0.5-LB,15
PB-COSS-1-LB-KIT,"Coastal California Sage Scrub Mix - 1 lb - Covers 4,000 Sq Ft",STAGE,In_stock,0,kit_direct,PB-COSS-1-LB,0
PB-COW-NTR-10-LB,"Cool Season Cattle Pasture Seed Mix - 10 lb - Covers 20,000 Sq Ft",STAGE,In_stock,51,direct,PB-COW-NTR-10-LB,51
PB-COW-NTR-20-LB-KIT,"Cool Season Cattle Pasture Seed Mix - 20 lb - Covers 40,000 Sq Ft",PUBLISHED,In_stock,0,kit_direct,PB-COW-NTR-20-LB,0
PB-COW-SO-10-LB,"Warm Season Cattle Pasture Seed Mix - 10 lb - Covers 20,000 Sq Ft",PUBLISHED,In_stock,84,direct,PB-COW-SO-10-LB,84
PB-COW-SO-50-LB-KIT,"Warm Season Cattle Pasture Seed Mix - 50 lb - Covers 100,000 Sq Ft",PUBLISHED,In_stock,84,kit_base,PB-COW-SO-10-LB,84
PB-DRY-10-LB,"Dryland Pasture Mix - 10 Lbs - 5,000 Sq Ft",PUBLISHED,In_stock,44,direct,PB-DRY-10-LB,44
PB-DRY-20-LB-KIT,"Dryland Pasture Mix - 50 Lbs - 25,000 Sq Ft",PUBLISHED,In_stock,44,kit_base,PB-DRY-10-LB,44
PB-DRY-50-LB-KIT,"Dryland Pasture Mix - 20 Lbs - 10,000 Sq Ft",PUBLISHED,In_stock,44,kit_base,PB-DRY-10-LB,44
PB-FULL-10-LB,"Full Potential Food Plot Mix - 10 lb - Covers 1,000 Sq Ft",PUBLISHED,In_stock,32,direct,PB-FULL-10-LB,32
PB-FULL-50-LB-KIT,"Full Potential Food Plot Mix - 50 lb - Covers 5,000 Sq Ft",STAGE,In_stock,32,kit_base,PB-FULL-10-LB,32
PB-GAME-10-LB,"Big Game Food Plot & Forage Mix - 10 lb - Covers 20,000 Sq Ft",PUBLISHED,In_stock,151,direct,PB-GAME-10-LB,151
PB-GAME-20-LB-KIT,"Big Game Food Plot & Forage Mix - 20 lb - Covers 40,000 Sq Ft",PUBLISHED,In_stock,151,kit_base,PB-GAME-10-LB,151
PB-GAME-50-LB-KIT,"Big Game Food Plot & Forage Mix - 50 lb - Covers 100,000 Sq Ft",PUBLISHED,In_stock,151,kit_base,PB-GAME-10-LB,151
PB-GOAT-N-10-LB,"Warm Season Goat Pasture & Forage Mix - 10 lb - Covers 20,000 Sq Ft",STAGE,Out_of_stock,0,direct,PB-GOAT-N-10-LB,0
PB-GOAT-N-20-LB-KIT,"Warm Season Goat Pasture & Forage Mix - 20 lb - Covers 40,000 Sq Ft",STAGE,Out_of_stock,0,no_match,,0
PB-GOAT-SO-20-LB-KIT,"Cool Season Goat Pasture & Forage Mix - 20 lb - Covers 40,000 Sq Ft",PUBLISHED,Out_of_stock,0,no_match,,0
PB-GOAT-SO-50-LB-KIT,"Cool Season Goat Pasture & Forage Mix - 50 lb - Covers 100,000 Sq Ft",PUBLISHED,Out_of_stock,0,no_match,,0
PB-GOAT-TR-20-LB-KIT,"Transitional Zone Goat Pasture & Forage Mix - 20 lb - Covers 40,000 Sq Ft",PUBLISHED,Out_of_stock,0,no_match,,0
PB-GRSC-10-LB,"Green Screen Food Plot Mix - 10 lb - Covers 40,000 Sq Ft",PUBLISHED,In_stock,84,direct,PB-GRSC-10-LB,84
PB-GRSC-20-LB-KIT,"Green Screen Food Plot Mix - 20 lb - Covers 85,000 Sq Ft",PUBLISHED,In_stock,84,kit_base,PB-GRSC-10-LB,84
PB-GRSC-50-LB-KIT,"Green Screen Food Plot Mix - 50 lb - Covers 215,000 Sq Ft",PUBLISHED,In_stock,84,kit_base,PB-GRSC-10-LB,84
PB-HONEY-25-LB-KIT,"Honey Bee Cover Crop & Pasture Mix - 25 lb - Covers 50,000 Sq Ft",PUBLISHED,In_stock,460,kit_base,PB-HONEY-5-LB,460
PB-HONEY-5-LB,"Honey Bee Cover Crop & Pasture Mix - 5 lb - Covers 20,000 Sq Ft",PUBLISHED,In_stock,460,direct,PB-HONEY-5-LB,460
PB-HONEY-50-LB-KIT,"Honey Bee Cover Crop & Pasture Mix - 50 lb - Covers 100,000 Sq Ft",STAGE,In_stock,0,kit_direct,PB-HONEY-50-LB,0
PB-HRSE-N-10-LB,"Cool Season Horse Pasture Mix - 10 lb - Covers 20,000 Sq Ft",PUBLISHED,In_stock,29,direct,PB-HRSE-N-10-LB,29
PB-HRSE-N-20-LB-KIT,"Cool Season Horse Pasture Mix - 20 lb - Covers 40,000 Sq Ft",PUBLISHED,In_stock,29,kit_base,PB-HRSE-N-10-LB,29
PB-HRSE-N-50-LB-KIT,"Cool Season Horse Pasture Mix - 50 lb - Covers 100,000 Sq Ft",STAGE,In_stock,29,kit_base,PB-HRSE-N-10-LB,29
PB-HRSE-SO-20-LB-KIT,"Warm Season Horse Pasture Mix - 20 lb - Covers 40,000 Sq Ft",PUBLISHED,In_stock,60,kit_base,PB-HRSE-SO-10-LB,60
PB-HRSE-SO-50-LB-KIT,"Warm Season Horse Pasture Mix - 50 lb - Covers 100,000 Sq Ft",PUBLISHED,In_stock,0,kit_direct,PB-HRSE-SO-50-LB,0
PB-HRSE-TR-10-LB,"Transitional Zone Horse Pasture Mix - 10 lb - Covers 20,000 Sq Ft",PUBLISHED,In_stock,14,direct,PB-HRSE-TR-10-LB,14
PB-HRSE-TR-20-LB-KIT,"Transitional Zone Horse Pasture Mix - 20 lb - Covers 40,000 Sq Ft",PUBLISHED,In_stock,14,kit_base,PB-HRSE-TR-10-LB,14
PB-IR-10-LB,"Premium Irrigated Pasture Mix - 10 Lbs - 5,000 Sq Ft",PUBLISHED,In_stock,50,direct,PB-IR-10-LB,50
PB-IR-20-LB-KIT,"Premium Irrigated Pasture Mix - 20 Lbs - 10,000 Sq Ft",PUBLISHED,In_stock,50,kit_base,PB-IR-10-LB,50
PB-IR-50-LB-KIT,"Premium Irrigated Pasture Mix - 50 Lbs - 25,000 Sq Ft",STAGE,In_stock,50,kit_base,PB-IR-10-LB,50
PB-KRMU-10-LB,"Krunch N Munch Food Plot Mix - 10 lb - Covers 1,000 Sq Ft",PUBLISHED,In_stock,54,direct,PB-KRMU-10-LB,54
PB-KRMU-20-LB-KIT,"Krunch N Munch Food Plot Mix - 20 lb - Covers 2,000 Sq Ft",SYSTEM_PROBLEM,In_stock,54,kit_base,PB-KRMU-10-LB,54
PB-MUST-10-LB,"Mustard Biofumigant Blend Cover Crop Seed Mix - 10 Lbs - 5,000 Sq Ft",PUBLISHED,In_stock,49,direct,PB-MUST-10-LB,49
PB-MUST-20-LB-KIT,"Mustard Biofumigant Blend Cover Crop Seed Mix - 50 Lbs - 25,000 Sq Ft",PUBLISHED,In_stock,49,kit_base,PB-MUST-10-LB,49
PB-MUST-50-LB-KIT,"Mustard Biofumigant Blend Cover Crop Seed Mix - 20 Lbs - 10,000 Sq Ft",STAGE,In_stock,49,kit_base,PB-MUST-10-LB,49
PB-PIG-20-LB-KIT,"Pig Pasture & Forage Mix - 20 lb - Covers 40,000 Sq Ft",PUBLISHED,In_stock,17,kit_base,PB-PIG-10-LB,17
PB-PIG-50-LB-KIT,"Pig Pasture & Forage Mix - 50 lb - Covers 100,000 Sq Ft",STAGE,In_stock,17,kit_base,PB-PIG-10-LB,17
PB-PLPR-16-LBS,"Plains Prairie Mix - 16 lb - Covers 3,000 Sq Ft",UNPUBLISHED,In_stock,0,no_match,,0
PB-PLPR-4-LBS,Plains Prairie Mix - 4 lb - Covers 800 Sq Ft,PUBLISHED,In_stock,0,no_match,,0
PB-PLPR-8-LBS,"Plains Prairie Mix - 8 lb - Covers 1,000 Sq Ft",PUBLISHED,In_stock,0,no_match,,0
PB-SGPR-5-LB,"Shortgrass Prairie Seed Mix - 5 lb - Covers 25,000 Sq Ft",PUBLISHED,In_stock,9,base_prefix,PB-SGPR-10-LB,9
PB-SHADE-10-LB,"Shade Tolerant Food Plot Mix - 10 lb - Covers 2,000 Sq Ft",PUBLISHED,In_stock,19,direct,PB-SHADE-10-LB,19
PB-SHADE-20-LB-KIT,"Shade Tolerant Food Plot Mix - 20 lb - Covers 4,000 Sq Ft",PUBLISHED,In_stock,19,kit_base,PB-SHADE-10-LB,19
PB-SHADE-50-LB-KIT,"Shade Tolerant Food Plot Mix - 50 lb - Covers 10,000 Sq Ft",PUBLISHED,In_stock,19,kit_base,PB-SHADE-10-LB,19
PB-SHEP-N-10-LB,"Cool Season Sheep Pasture Mix - 10 lb - Covers 20,000 Sq Ft",STAGE,In_stock,3,direct,PB-SHEP-N-10-LB,3
PB-SHEP-N-20-LB-KIT,"Cool Season Sheep Pasture Mix - 20 lb - Covers 40,000 Sq Ft",STAGE,In_stock,0,kit_direct,PB-SHEP-N-20-LB,0
PB-SHEP-N-50-LB-KIT,"Cool Season Sheep Pasture Mix - 50 lb - Covers 100,000 Sq Ft",STAGE,In_stock,0,kit_direct,PB-SHEP-N-50-LB,0
PB-SHEP-SO-10-LB,"Warm Season Sheep Pasture Mix - 10 lb - Covers 20,000 Sq Ft",PUBLISHED,In_stock,0,direct,PB-SHEP-SO-10-LB,0
PB-SHEP-SO-20-LB-KIT,"Warm Season Sheep Pasture Mix - 20 lb - Covers 40,000 Sq Ft",PUBLISHED,In_stock,0,kit_direct,PB-SHEP-SO-20-LB,0
PB-SHEP-SO-50-LB-KIT,"Warm Season Sheep Pasture Mix - 50 lb - Covers 100,000 Sq Ft",PUBLISHED,In_stock,0,kit_direct,PB-SHEP-SO-50-LB,0
PB-SHEP-TR-10-LB,"Transitional Zone Sheep Pasture Mix - 10 lb - Covers 20,000 Sq Ft",STAGE,In_stock,0,direct,PB-SHEP-TR-10-LB,0
PB-SHEP-TR-20-LB-KIT,"Transitional Zone Sheep Pasture Mix - 20 lb - Covers 40,000 Sq Ft",PUBLISHED,In_stock,0,no_match,,0
PB-SHEP-TR-50-LB-KIT,"Transitional Zone Sheep Pasture Mix - 50 lb - Covers 100,000 Sq Ft",PUBLISHED,In_stock,0,no_match,,0
PB-SHPR-10-LB-KIT,"Sandhills Prairie Mix - 10 lb - Covers 50,000 Sq Ft",PUBLISHED,In_stock,0,kit_direct,PB-SHPR-10-LB,0
PB-SHPR-5-LB,"Sandhills Prairie Mix - 5 lb - Covers 25,000 Sq Ft",PUBLISHED,In_stock,0,no_match,,0
PB-TORT-10-LB-KIT,"Tortoise Forage & Habitat Mix - 10 lb - Covers 20,000 Sq Ft",STAGE,In_stock,2,kit_base,PB-TORT-2-LB,2
PB-TORT-4-LB-KIT,"Tortoise Forage & Habitat Mix - 4 lb - Covers 8,000 Sq Ft",STAGE,In_stock,2,kit_base,PB-TORT-2-LB,2
PG-BOGR-25-LB-KIT,"Blue Grama Seed - 25 lb - Covers 50,000 Sq Ft",UNPUBLISHED,In_stock,74,kit_base,PG-BOGR-5-LB,74
PG-BOGR-5-LB,"Blue Grama Seed - 5 lb - Covers 10,000 Sq Ft",PUBLISHED,In_stock,74,direct,PG-BOGR-5-LB,74
PG-BUCK-25-LB-KIT,"Buckwheat Seed - 25 lb - Covers 50,000 Sq Ft",STAGE,In_stock,0,kit_direct,PG-BUCK-25-LB,0
PG-BUCK-50-LB-KIT,"Buckwheat Seed - 50 lb - Covers 100,000 Sq Ft",PUBLISHED,In_stock,0,kit_direct,PG-BUCK-50-LB,0
PG-BUDA-25-LB-KIT,"Buffalograss Seed - 25 lb - Covers 50,000 Sq Ft",STAGE,In_stock,0,kit_direct,PG-BUDA-25-LB,0
PG-BUDA-5-LB,"Buffalograss Seed - 5 lb - Covers 20,000 Sq Ft",STAGE,In_stock,37,direct,PG-BUDA-5-LB,37
